#Frame                                               Vec_00016
       1  91.6917  72.8545  39.5975   0.0000   0.0000   0.0000
       2  89.3799 148.3789  84.7093   0.0000   0.0000   0.0000
       3  90.7248 143.1835  81.9930   0.0000   0.0000   0.0000
       4  92.3555 143.1043  84.8474   0.0000   0.0000   0.0000
       5  92.4158 140.9801  87.0349   0.0000   0.0000   0.0000
       6  90.1764 132.6363  85.6596   0.0000   0.0000   0.0000
       7  88.0105 133.2511  88.9523   0.0000   0.0000   0.0000
       8  90.1242 138.1259  88.7864   0.0000   0.0000   0.0000
       9  93.5656 139.6189  86.1549   0.0000   0.0000   0.0000
      10  90.6646 138.6715  83.8762   0.0000   0.0000   0.0000
      11  93.0133 139.5018  85.5210   0.0000   0.0000   0.0000
      12  90.6248 138.0158  83.5518   0.0000   0.0000   0.0000
      13  90.2055 140.7993  84.3848   0.0000   0.0000   0.0000
      14  82.8471 140.1592  82.9317   0.0000   0.0000   0.0000
      15  81.8321 147.9666  83.9233   0.0000   0.0000   0.0000
      16  80.5493 146.2097  84.5310   0.0000   0.0000   0.0000
      17  87.7153 142.9004  86.6582   0.0000   0.0000   0.0000
      18  90.2678 141.2074  87.8767   0.0000   0.0000   0.0000
      19  95.8737 141.8003  85.9336   0.0000   0.0000   0.0000
      20  95.8721 141.1713  83.3539   0.0000   0.0000   0.0000
      21  91.9985 141.6057  85.8293   0.0000   0.0000   0.0000
      22  92.4303 140.8432  86.4534   0.0000   0.0000   0.0000
      23  94.2216 140.6865  86.7076   0.0000   0.0000   0.0000
      24  94.4688 140.1889  86.0201   0.0000   0.0000   0.0000
      25  93.1150 140.0715  79.8795   0.0000   0.0000   0.0000
      26  99.0914 142.6991  79.6403   0.0000   0.0000   0.0000
      27  94.7082 144.1796  82.9004   0.0000   0.0000   0.0000
      28  94.3152 146.8203  83.3780   0.0000   0.0000   0.0000
      29  93.2614 146.4136  82.7689   0.0000   0.0000   0.0000
      30  85.3841 146.0502  79.8587   0.0000   0.0000   0.0000
      31  84.0236 143.5925  81.9774   0.0000   0.0000   0.0000
