Cluster,Frame,AtomID,X,Y,Z,X_Center,Y_Center,Z_Center,R,Theta,D_958,D_1178,D_1366,D_2377,D_3796,PCAcyl_0,PCAcyl_1,PCAcyl_2,PCAcyl_3,PCAcyl_4
0,1094.3039215686274,165746.54166666666,90.8643642156862,130.86461495098035,41.86702107843135,92.85714730392152,139.71608151960794,62.66038127450975,9.961376017294727,-1.7625492339831021,43.243157080604206,83.04984176329305,14.624882135137158,40.471745107518565,49.043300250768745,-58.656760023613785,12.085198930629625,6.4099186904474665,1.919610835000127,4.937673802910892
1,673.4791666666666,165807.36458333334,101.59683437499997,82.61948229166667,16.91374479166667,92.73337416666669,139.26510312499997,62.81970666666669,57.555258326945314,-1.4187656963382356,56.505594054214306,131.62259630602543,48.08046360041146,71.64211541998951,99.79192431129134,9.289231248410564,59.88661209074627,18.727278611310577,-9.834833237812914,1.7788230535420553
2,868.578947368421,165936.5037593985,135.78425338345872,143.35563759398497,93.34955338345863,92.67558526315791,139.43758165413533,62.87268390977444,43.90949845828443,0.09165478685943862,50.201463405442354,65.65935528220552,76.38486669977138,92.59989685880569,60.60147951868628,12.14140267258567,-10.340307633772706,-28.085441177222904,-14.111902835166086,-2.400989876068903
3,1729.923076923077,165823.3076923077,50.3363032967033,154.5748307692307,131.02213406593413,92.69001648351646,139.46686769230766,62.76548395604398,45.83739381864571,2.464800722873026,114.08356659850848,35.865715800403024,114.79831637747347,83.99051832786087,98.8169511557384,73.0760756797939,-52.38859716307557,14.755325687452306,8.036855470068357,10.70355217473631
4,869.5294117647059,165607.24705882353,52.43689529411763,81.97929882352939,17.63010470588235,92.8079661176471,139.4197025882353,62.586644705882364,70.57093220681165,-2.1830799307934967,90.16259460652942,131.71442431117822,66.38318134726352,54.339639934113244,113.36638208707912,32.68066126931521,48.68232957824753,48.42353734975983,9.274358110138218,-3.852272332944085
5,1797.1397849462367,165824.33333333334,59.41456881720431,160.94929247311833,16.47176666666667,92.70144408602148,139.63309333333333,62.6658212903226,40.45852694395481,2.5688829768403294,93.29802063142225,102.45965526288329,53.23654050968274,59.443862659236956,61.48634900446957,2.4617038195107313,16.963358483631623,13.28833989129678,33.805342782239244,-3.098833591496586
6,1296.9397590361446,165897.15060240965,142.51748012048193,181.4545572289157,16.077767469879515,92.72658397590358,139.33554891566263,62.671755542168654,65.52886623131451,0.7058874971223649,84.35938846981813,119.93333129739125,72.41892973262898,115.32584353146676,52.97914456396099,34.97797754610544,37.959202440382015,-35.83155700879245,28.080239443755705,-5.263612736378997
7,774.4802744425386,165777.75300171526,92.03197015437391,135.98191423670661,63.84881801029163,92.705030909091,139.4356902229848,62.76206981132067,5.817041976458382,-1.0271101177449253,43.10334281712308,61.68108434765425,35.31934439397823,41.81337068600534,43.40922880079775,-48.86736140128176,-14.163678221586984,-0.42082071720644704,-2.9305836894338753,-3.0264686541471892
8,807.9411764705883,165766.6911764706,33.77654705882353,110.17702205882351,131.32696176470586,92.57113029411761,139.21985117647063,62.916691176470586,65.95871254192349,-2.6779707091789753,118.98857401368363,73.15028182131168,120.9337676592659,79.05951334871452,125.09708777948114,91.45571102397906,-17.348530982338243,37.91112232344599,5.656976852854027,3.000946044810043
9,1171.3333333333333,165666.57971014493,107.75761884057968,199.5297623188406,111.64674347826086,92.84291072463768,139.8063484057971,62.69203130434785,61.8642636051819,1.320896357991649,105.8252493632101,46.839222046149416,109.08673282350348,111.29348980392781,64.463994039843,64.50622760420556,-40.61004810723675,-27.22674500376487,19.997535655736208,5.3101210143280575
10,545.696682464455,165931.01421800948,92.71069431279612,89.22029099526063,35.424114691943124,92.66811516587674,139.25184530805686,62.81546872037912,50.44888948835846,-1.5675564851011652,47.02394809412617,112.39018636752101,39.44694273779748,52.69988408282815,88.77487236132731,-15.363109980051238,40.575250984151396,22.798882493639713,-13.576841802663774,-0.027074017510186708
11,652.1927710843373,165768.9518072289,93.98834216867468,66.31417108433733,20.836202409638556,92.93986313253014,139.3336551807229,62.66261807228917,73.56409534928501,-1.5566478884183728,67.9760566028936,138.47499348580493,62.96927043777567,74.75254982777776,114.54744558411035,32.09592805281374,63.376513840959305,28.16080751263177,-8.888672251926439,-0.5432699615687299
